id,name,description
map_8,Carte 8,Localisation approximative des groupes ethnolinguistiques de Bolivie - Source: Ministère des Affaires Paysannes et des Peuples Indigènes Originaires (MACPIO)
map_9,Carte 9,"Localisation approximative des langues takana de Bolivia et du Pérou, adaptée de Grinevald & Bert (2010 : 504)"
